Female,Male,Cultivar
UA4805,5002T,R08-527
S97-1688,Caviness-RR,R08-991
5002T,R01-4752,R09-1589
5601T,R04-1250RR,R09-1607RR
UA4805,R01-4747RR,R09-1822
UA4805,R01-4747RR,R09-1827RR
R00-1076,S99-2281,R09-1970
5002T,Ozark,R09-209
TN01-235,UA4805,R09-2567
TN02-204,Osage,R09-2988
BA 015355,R00-684,R09-319
R00-1076,BA 743303,R09-400
BA 743303,R00-684,R09-430
DP4748,S01-9794,R09-4571
V00-3650,FG-5,R09-4798
S00-9925-10,UA4805,R09-5026
5002T,UA4805,R09-5088
5002T,Ozark,R09-5137
5601T,Ozark,R09-5225
R01-315,JTN-01,R09-886
5002T,R01-2245,R10-115
R03-263,UA4805,R10-1191
S00-9925-10,UA4805,R10-1288
Ozark,Unspecified,R10-130RY
R01-976,R03-946,R10-1663
5002T,R04-357,R10-197
Ozark,MON RR2Y,R10-197RY
5002T,R04-357,R10-216
5002T,R04-357,R10-230
R01-81,R02-6232F,R10-2465
5002T,Ozark,R10-28
V01-1693,Ozark,R10-3185
Osage,Ozark RR2Y,R10-428RY
5002T,R01-3474F,R10-4892
Osage,R99-1613F,R10-5086
R01-3474F,R02-3263RR,R10-5595
5601T,R01-2195,R10-5709
5601T,R01-2195,R10-5721
UA4805,R01-4747RR,R10-7339RR
TN01-235,S01-9265,R10-7587
MD00-6015,R02-3065,R11-1057
Osage,R05-3239,R11-1192
R03-263,UA4805,R11-1546
R03-263,UA4805,R11-1578
R03-263,UA4805,R11-1617
5002T,R01-2346,R11-171
UA4805,R01-327,R11-1756
R03-1232,MON RR2Y,R11-213RY
NCC04-734,R01-327,R11-2282
NCC04-734,R01-327,R11-2299
NCC04-734,R03-1232,R11-2354
R01-976,NCC02-307,R11-2419
5002T,R04-357,R11-245
R01-976,R03-946,R11-2517
5002T,R04-357,R11-262
Osage,R99-1613F,R11-7141
Osage,MON RR2Y,R11-89RY
JTN 5303,Osage,R11-927
Dunfield,Arksoy,R46-2062 &nbsp;
Dunfield,C143,R46-2062 &nbsp;&nbsp;
C143,Dunfield,R46-2076 &nbsp;
C143,C233,R46-2076 &nbsp;&nbsp;
D49-2573,N45-1497,R54-168
D49-2573,N45-1497,R54-171-1
Lee,NA,R56-49
Dorman,D49-2477,R57-18
D49-507,D49-2510,R59-2
Lee,NA,R59-200
Dortchsoy 67,Lee,R60-66
F54-168,Hill,R62-395
Essex,G. soja,R62-550
(R54-168*Hill),(Lee*Dortchsoy 110),R62-659
(R54-168*Hill),(Lee*Dortchsoy 110),R63-190
(R54-168*Hill),(Lee*Dortchsoy 110),R63-544
(R54-168*Hill),(Lee*Dortchsoy 110),R64-14
D49-2573,N45-1497,R64-168
Hill (6),Arksoy,R64-500
Lee (6),Arksoy,R64-502
Hill,R59-200,R65-113
(R64-168*Hill),(Lee*Dortchsoy 110),R65-12
Hood (6),Arksoy,R65-37
Unspecified,Unspecified,R65-49
Lee (5),FC 33243,R66-1517
Jackson,Semmes,R66-873
R56-49,Davis,R67-141
Lee,Unspecified,R68-105
Unspecified,Unspecified,R68-106
Davis,Lee 68,R68-208
Davis,Bragg,R69-1151
(R65-49*PI 91120),(Davis*Lee 68),R69-186
Semmes,R64-500,R69-345
Semmes,R64-500,R69-358
R60-66,R64-500,R69-831
R60-66,R64-500,R70-176
Davis,Lee 68,R70-306
Semmes,R64-500,R70-33
(Davis*Lee 68),R60-66,R70-332
Davis,Bragg,R70-580
(Davis*Lee 68),R60-66,R71-626
(Davis*Lee 68),R60-66,R71-638
(Bragg*Davis),(Dare*Davis),R71-72
Unspecified,Unspecified,R72-26
S-100,C.N.S.,R72-2647
R68-106,L62-1251,R73-1195
R56-49,D68-B2,R73-81
York,Davis,R74-1625
Davis,York,R74-39K
R66-873,Mack,R74-511A
Unspecified,Unspecified,R75-112
R72-2647 (3),(D68-18*PI 88788),R75-12
R72-2647 (3),(D68-18*PI 88788),R75-12L
Forrest,Mack,R75-576
Forrest,Mack,R75-579
(R66-873*Mack),(Mack*York),R75-868
Dare,D65-6765,R76-1017
Forrest,Mack,R76-45
Centennial,Forrest,R76-479
Unspecified,Unspecified,R77-0226
Forrest,Lee 74,R77-236
(T43*Davis (2)),Mack (3),R77-238
Centennial,(R72-2647 (3)*D72-C57),R78-100-8
Unspecified,Unspecified,R79
Mack,V72-128,R79-121
R72-26,Forrest,R79-167S
Centennial,R75-12L,R79-772
(Centennial*R75-12),(Pickett 71*PI 90763R),R80-437
Unspecified,Unspecified,R80-64K
Centennial,Narow,R81-1239
Bragg,Centennial,R81-266
R77-0226,Narow,R82-1077
Centennial,Narow,R82-269
Centennial,Ransom,R82-368
Jeff,Braxton,R83-11S
Forrest,Narow,R83-1342
Line 8,(R68-208*Bedford),R83-1552
R77-236,Narow,R83-310
Narow,R75-868,R83-980
(R76-1017*R68-208),(Forrest*Narow),R84-150
Wright,Jeff,R85-140S
Davis,Bedford,R85-164
Narow,R75-579,R85-3280
Unspecified,Unspecified,R85-3309
Lincoln (2),Richland,R85-336
Unspecified,Unspecified,R87-170
Jeff,(Pershing*Epps),R88-638
(R80-437*LeFlore),(Jeff*R80-64K),R89-131
Gordon,R82-368,R89-18S
Pershing,Narow,R89-332
D83-3349,Asgrow A5474,R90-149
Lloyd,Narow,R90-515
(Tracy-M*Jeff),(Narow*Sharkey),R90-555
(Walters*Lloyd),Narow,R90-844
Hartz H6381,Walters,R91-429
R85-336,Walters,R91-4484
Hutcheson,Walters,R92-1258
Hutcheson,Walters,R92-1294
Asgrow A5403,Hutcheson,R93-151
Asgrow A5403,Hutcheson,R93-171
Asgrow A5403,Hutcheson,R93-174
Hutcheson,R87-170,R94-929
Unspecified,Unspecified,R95-1470
Manokin,Asgrow A6297,R95-2210
Manokin,KS4895,R95-3235
DPL 415,Asgrow A9641,R95-798
Hamilton,Coker 6955,R96-1083
Asgrow A5403,Manokin,R96-1471
Asgrow A6297,Asgrow A5403,R96-1559
Asgrow A4715,HS89-3261,R96-1689F
Hutcheson,Coker 6955,R96-1939
Holladay,DPL 415,R96-209
PI 507098,N86-491,R96-2361
Asgrow A6297,IA2007,R96-2660
Manokin,KS4895,R96-3235
Pioneer P9592,KS4895,R96-3427
Pioneer P9592,KS4895,R96-3444
Asgrow A5403,Dillon,R96-3538
Asgrow A6297,Pioneer P9592,R96-864
Pioneer P9592,Northrup King S59-60,R97-1053
Pioneer P9592,Holladay,R97-1634
Pioneer P9592,Holladay,R97-1650
Manokin,Asgrow A6297,R97-1801
Manokin,Asgrow A6297,R97-1832
Hutcheson,Asgrow A5885,R97-818
Asgrow A5403,Hartz H5545,R98-1523
KY88-4080,Hartz H5545,R98-1647
KY88-4080,Hartz H5545,R98-1682
Hartz H5545,KS4895,R98-1817
Hartz H5545,KS4895,R98-1821
Asgrow A6297,Clifford,R98-209
KY88-4080,DPL 3478,R98-2390F
Unspecified,Unspecified,R98-3267F
NKRA 452,PI 290126B,R99-1613F
MD92-5769,Pioneer P9641,R99-1888
N90-516,Hartz H4994,R99-2070
N90-516,Hartz H4994,R99-2088
N90-516,Hartz H4994,R99-2172
Pioneer P9611,Caviness,R99-2512
KY88-4080,G89-2223,R99-541
Unspecified,Unspecified,RA452
(R54-168 (2)*Peking),Lee,RA63-19-2
Unspecified,Unspecified,RAGT86L579
Introduction,NA,Raiden
Arksoy,NA,Ralsoy
Clark,Chippewa,Rampage
PI 417288,(T135*PI 83945-4),Randolph
((N55-5931*N55-3818)*D56-1185),D56-1185,Ransom
J251,ORC 9404,RCAT 2006
FH 22-815,Hodgson,RCAT 8703
Conrad,RCAT Alliance,RCAT 9201
PS 42,Conrad,RCAT 9709
Northrup King S24-92,RCAT Bobcat,RCAT 99-01
Wells II,Williams 82,RCAT Alliance
Pride B152,Thompson T8112,RCAT Angora
T8508,OAC86-07,RCAT Bobcat
KG 60,Asgrow A2943,RCAT Calico
M73-62,FG31-3,RCAT Persian
PI 341243,NA,Red Tanner
Union (8),(PI 86972-1*PI 84637),Regal
Jack,Resnik,Rend
Lincoln (2),Richland,Renville
Asgrow A3127 (4),Williams 82,Resnik
Resnik (2),MON40-3-2,Resnik RR
Unspecified,Unspecified,Resnik2
J74-123,N73-520,Rhodes
Introduction,NA,Richland
Hodgson,V68-1034,Ripley
Wayne,Corsoy,Riverside 2024
(R70-580*Forrest),Bedford,RJ84-1822
J77-255,Bedford,RJ85-9116
Nanking,NA,Roanoke
Unspecified,Unspecified,Rocky
Tokyo,NA,Rokusun 25A
Haberlandt,NA,Rose Non Pop
Monroe,Lincoln,Ross
Unspecified,Unspecified,MON RR
Unspecified,Unspecified,RR2-12996
Unspecified,Unspecified,RR2-6851
Unspecified,Unspecified,RR2S10-3511
Unspecified,Unspecified,RR2S10-5737
Unspecified,Unspecified,RS4
Introduction,NA,Runo
Ripley,EF59,RxEF59-79
Illini,NA,S-100
DeKalb 4762RR,P6,S0-007RR
S94-2086,MD94-5334,S00-9912-56
Unspecified,Unspecified,S00-9912-56 BS
K1393,Anand,S00-9925-10
S94-1867,Anand,S00-9970-09
HY 574,Anand,S00-9985-03
Manokin,S92-2711A,S01-8401
Unspecified,Unspecified,S01-9209
Unspecified,Unspecified,S01-9265
Unspecified,Unspecified,S01-9794
Unspecified,Unspecified,S02-2238RR
Unspecified,Unspecified,S02-2259
Unspecified,Unspecified,S02-390
Unspecified,Unspecified,S02-390 RR
DPL 5960RR,Anand,S02-3934
DPL 5960RR,Anand,S02-3934RR
Unspecified,Unspecified,S02-577
LS94-3207,DeKalb 4762,S02-583CR
DeKalb 4762,Anand,S02-586CR
DP 5960RR,Anand,S02-611CR
Unspecified,Unspecified,S02-6143
Unspecified,Unspecified,S02-670CR
(S86-4499 (4)*MON RR),Unspecified,S02-677CR RR
Unspecified,Unspecified,S02-6816
Delta King 4762,SG498RR,S02-683RR
SS94-7546,(S86-4499 (4)*MON RR),S02-750CR RR
SS94-7546,S86-4499 (4),S02-750RR
Unspecified,Unspecified,S03-051RR
Delta King 4762RR,P6,S03-058RR
SG498RR,SS94-7482,S03-166RR
SG498RR,Anand-1-CYST02,S03-1904
DPL 5960RR,P1,S03-328RR
DPL 5960RR,P1,S03-383RR
DPL 5960RR,P1,S03-390RR
Unspecified,Unspecified,S03-3923RR
Unspecified,Unspecified,S03-4127
Unspecified,Unspecified,S03-4152
Unspecified,Unspecified,S03-575
Unspecified,Unspecified,S03-W4
Unspecified,AgriPro AP4882,S04-10364
Unspecified,Unspecified,S04-11681
Unspecified,Unspecified,S04-11746
Unspecified,Unspecified,S04-12412
Unspecified,Unspecified,S04-12978
Unspecified,Unspecified,S04-19351RR
Unspecified,Unspecified,S04-20912RR
S99-2281,DPL 5960RR,S04-21273 RR
P6,S98-3940-04RR,S04-23936RR
P6,S98-3940-04RR,S04-24039RR
Unspecified,Unspecified,S04-3962RR
S99-2281,F1-00-111,S04-5969
(N90-516*(MD83-5008*Hartwig)),((Delsoy 5500 (4)*MON RR)*P1),S04-5969RR
Unspecified,Unspecified,S04-5997RR
K1525,F1-00-111,S04-6008
K1525,F1-00-111,S04-6013
Unspecified,Unspecified,S04-7661
S99-2281,LG97-7012,S04-8882
Unspecified,Unspecified,S04-8952
S00-9925-10,U98-311442,S05-11268
Unspecified,Unspecified,S05-11462
S99-2281,S00-9985-03,S05-11482
Unspecified,Unspecified,S05-11968
P1,S02-670CR,S05-4604RR
Unspecified,Unspecified,S05-4630RR
P1,S02-670CR,S05-4678RR
S02-6816,S02-390 RR,S06-10572
Unspecified,Unspecified,S06-10572RR
Unspecified,Unspecified,S06-12224
5002T,S00-9925-10,S06-12439
LG99-11986,S38-T8,S06-13640
S00-9912-56,S02-3934,S06-3027
S00-9912-56,S02-3934,S06-3053
S00-9912-56,S02-3934,S06-3095
S00-9912-56,S02-3934RR,S06-3095RR
U99-311442,S02-390,S06-3929
JTN 5503,DPL 5634,S06-4649
JTN 5503,DPL 5634RR,S06-4649RR
R98-209,S02-3934,S06-6836
Unspecified,Unspecified,S06-7084
Chippewa,NA,S0643
(Blackhawk*Clark),(Adams*Clark),S0645
(Adams*Clark),Mandarin (Ottawa),S0646
S00-9925-10,S03-383RR,S07-10311
S02-2238RR,S03-058RR,S07-14472
LG00-3372,S03-058RR,S07-15722
Unspecified,Unspecified,S07-15722RR
Delsoy 5710,S03-058RR,S07-16041
HC99-2763,DPL 5634RR,S07-18772
S99-2281,S02-6143,S07-268
S99-2281,S02-6143,S07-2680
S03-4127,S01-8401,S07-3614
S03-4127,S01-8401,S07-3666
S03-4152,HC99-2763,S07-5049
HC99-2763,S02-6143,S07-5117
HC99-2763,S02-6143,S07-5151
R00-1194F,S04-5997RR,S08-10045
R98-1821,S03-383RR,S08-10645
Unspecified,Unspecified,S08-110
Unspecified,Unspecified,S08-113
Unspecified,Unspecified,S08-115
S00-9912-56 BS,S04-21273 RR,S08-12102
R00-1194F,S04-5969RR,S08-14072
R00-1194F,S04-5969RR,S08-14087
R00-1194F,S04-5969RR,S08-14100
R00-1194F,S04-5969RR,S08-14117
LG04-5196,S00-9925-10,S08-17357
LG04-5196,S00-9925-10,S08-17361
S04-8952,5002T,S08-17865
S04-3962RR,S04-5997RR,S08-2014
LD00-3309,S02-3934,S08-4628
LD00-2817,S04-5969RR,S08-6168
S04-7661,S04-19351RR,S08-7048
S04-5969RR,S03-051RR,S08-8113
S04-5997RR,SCHILL 495RC,S08-8972
S04-8952,S03-1904,S08-9727
R00-1194F,S03-383RR,S08-9936
R00-1194F,S03-383RR,S08-9942
R00-1194F,S03-383RR,S08-9947
S04-10364,LG03-3780,S09-10320
S04-10364,S04-12412,S09-10857
S04-10364,S04-12412,S09-10871
LG04-6863,S04-10364,S09-13608
LG04-6863,S04-10364,S09-13635
S04-11681,S04-12412,S09-14162
S04-11681,S04-12412,S09-14199
S04-11681,S04-8882,S09-18186
Unspecified,Unspecified,S09-309
Unspecified,Unspecified,S09-320
Unspecified,Unspecified,S09-328
Unspecified,Unspecified,S09-333
S04-10364,S04-3962RR,S09-5587
S04-20912RR,S05-4630RR,S09-6201
S04-20912RR,S05-4630RR,S09-6262
K03-3825,S04-10364,S09-9618
S04-10364,S04-12978,S09-9838
S04-10364,LG04-5196,S09-9943
Unspecified,Unspecified,S1-441
Unspecified,Unspecified,S10
S04-8882,S05-11400,S10-10368
S04-8882,S05-11968,S10-10821
S04-8882,R00-1194F,S10-11200
S06-7084,RR2-6851,S10-2635
S06-7084,RR2-6851,S10-2635RR
S06-10572,RR2-6851,S10-3003
S04-11746,RR2-12996,S10-4948
S06-12224,RR2-12996,S10-5310
S06-6836,RR2-6851,S10-6401
S04-10364,S05-11462,S10-7543
LG04-6000,S05-11462,S10-8511
LG04-6000,S05-11462,S10-8604
LG04-6000,S04-12412,S10-8860
LD04-5907,LG04-6449,S10-9381
LD04-13265,S06-12439,S11-14954
S07-2680,R00-1194F,S11-16413
S07-2680,LG04-6000,S11-16653
S05-11268,S05-11482,S11-16973
S05-11268,S05-11482,S11-17025
S05-11268,S05-11482,S11-17054
S05-11482,S06-4649RR,S11-20124
S05-11482,S06-4649RR,S11-20182
S05-11482,S06-4649RR,S11-20195
S05-11482,S06-3095RR,S11-20321
S05-11482,S06-3095RR,S11-20337
S05-11482,S06-3095RR,S11-20345
S05-11482,S06-3095RR,S11-20356
S05-11482,S06-12439,S11-21219
S05-11482,S08-113,S11-5727
S06-10572RR,S08-110,S11-8787
S06-10572RR,S08-110,S11-8789
S06-10572RR,S08-110,S11-8794
S06-10572RR,S08-115,S11-9618
S07-5049,RR2S10-3511,S12-10992
S07-2680,RR2S10-5737,S12-11150
S07-2680,RR2S10-5737,S12-11165
S07-5117,S05-11482,S12-2994M
S07-5117,S09-309 F1,S12-3321
S07-5117,S09-320 F1,S12-3663
S07-5117,S09-320 F1,S12-3690M
LD06-7596,S07-5117,S12-3777
LD06-7596,S07-5117,S12-3782
LD06-7596,S07-5117,S12-3791
LD06-7596,S07-5117,S12-3858
S06-4649RR,S09-333 F1,S12-5912
S07-15722RR,S09-328 F1,S12-7449
(Mack*(Corsoy*Pride B216 (2))),(Northrup King S1492*Lee 74),S15-50
D49-2525,L5-5679,S2-7158
D49-2525,L6-5679,S2-7160
L15,C1423,S20
Exp 13404,Pioneer P9273,S25-J5
(Clark 63*L46-2132-A1+D58824 (2)),(L49-4091*Clark (7)),S3
N48-1248,Perry,S3-7094
PI 37062,Illini,S32-11
PI 37062,Illini,S32-3
PI 37062,Illini,S32-8
Exp 13404,Pioneer P9273,S32-Z3
S3,(S62-4064*(Clark (3)*Kanrich)),S4
Unspecified,Unspecified,S4-1714
L9-4091,L6-2132,S4-1771
Ogden,L6-5679,S4-7312
Unspecified,Unspecified,S4-7346
Williams,Essex,S42-40
Chief (2),Macoupin,S47-270
Virginia,PI 54610-3,S49-12
Virginia,PI 54610-3,S49-18
Virginia,PI 54610-3,S49-5
((Scott (4)*Peking) (3)*(Scott (2)*Peking))*(Scott (9)*Blackhawk)),(Scott (5)*Peking),S5
N48-1248,Perry,S5-7075
D49-2525,L6-5679,S5-7144
L44-1458,NA,S52-5164
L44-1458,NA,S52-5179
D49-2525,L46-5679,S52-7158
D49-2525,L46-5679,S52-7160
Unspecified,Unspecified,S54-120
Hawkeye,(L49-4091*L46-2132-1),S54-1207
L49-4091,Clark,S54-1714
L49-4091,L46-2132,S54-2090
Virginia,PI 37062,S55-10
Virginia,PI 37062,S55-19
Unspecified,Unspecified,S55-27
Virginia,PI 37062,S55-35
N48-1248,Perry,S55-7075
S54-1207,NA,S56-1018
Acme,Comet,S56-142
Lincoln (2),Richland,S56-5004
Lincoln (2),Richland,S56-5162
S54-1714,Clark,S57-4264
S54-1714,Clark,S57-4319
Clark (3),S54-1714,S57-5343
S55-27,S2-7160,S59-119
Clark,NA,S59-2504
Unspecified,Unspecified,S59-60
L61-1112,(Wayne (4)*(Clark (3)*Kanrich)),S6
D49-2491,L3-2010,S6-7413
Scott (6),Blackhawk,S62-4051
Clark (3),L46-1503,S62-4064
Scott (2),Peking,S62-5-16-12
(Clark (2)*L46-1503),((Clark 63*L46-2132 (2))*(L46-2132*(Clark*Kanrich))),S62X30
Lee,Scott,S63-2580
Scott,Hill,S63-3277
Lee,Scott,S63-53285
Scott,Lee,S63-6407
Custer,NA,S65-15A
PI 229332,Bethel,S65-3339
Illini,Virginia,S66-13
Illini,Virginia,S66-21
Illini,Virginia,S66-27
Illini,Virginia,S66-43
Illini,Virginia,S66-57
PI 85559,Kent,S67-80
L61-1112,(Wayne (4)*(Clark (3)*Kanrich)),S7
(Chief*Macoupin),Chief,S7-270
S4-1714,Clark,S7-4362
Lincoln,S-100,S7-5236
Clark (3),S4-1714,S7-5343
Cutler,Mack,S73-86113
L66L-140,Columbus,S75-184
L66L-140,Columbus,S75-196
L66L-140,Columbus,S75-212
SL-9,Columbus,S75-489
D67-3297,Essex,S76-2109
D67-3297,Essex,S76-2120
D67-3297,Essex,S76-2194
D67-3297,Essex,S76-2203
Forrest,V71-480,S76-2229
Essex,Mitchell,S76-2392
D70-3115,Essex,S76-2425
Forrest,S63-53285,S76-2669
D70-3115,Essex,S76-8065
Unspecified,Unspecified,S77-114
D70-3115,J74-39,S77-281
D70-3115,J74-39,S77-318
D69-8201,Mack,S77-7865
Forrest,V71-480,S77-7992
(D74-7636*D70-3045),(D68-18*PI 88788),S79-4060
D70-3045,Bedford,S79-4240
Bedford,Crawford,S79-4246
Bedford,Crawford,S79-4259
Bedford,Crawford,S79-4296
Lincoln,Ralsoy,S8-5139
J74-123,N73-520,S80-2959
Bedford,R75-112,S80-5949
Crawford,J74-67-7,S81-2203
Davis,J74-122,S81-2524
Bedford,S77-114,S81-2876
Cumberland,Forrest,S82-1044
L75-8064,Forrest,S82-1111
Essex,D74-7741,S82-1318
Essex,D74-7741,S82-1338
Asgrow A5424,Mack,S82-1443
Bedford,S77-114,S82-2876
Forrest,Bedford,S82-3641
Cumberland,Forrest,S83-1004
Cumberland,Forrest,S83-1014
Forrest,Ransom,S83-1144
Bedford,N77-347,S83-1188
Bedford,N77-347,S83-1205
Bedford,Essex,S84-1876
Douglas,Peking,S84-6484
Bedford,Essex,S85-1008
Bedford,Essex,S85-1009
L77-1233,Douglas,S85-1084
Fayette,Douglas,S85-1101
Fayette,Pella,S85-11081
L77-443,L77-906,S85-1163
Douglas,Peking,S85-1554
Bedford,Essex,S85-1706
Peking,Elf,S85-1725
S79-4240,Essex,S86-1474
Peking,Elf,S86-2209
Peking,Elf,S86-2212
S79-4296,D77-5169,S86-2469
L77-443,L77-906,S86-4499
Essex,Epps,S87-1551
Peking,Elf,S88-1318
S82-1044,S79-4246,S88-1458
Hutcheson,S81-2524,S88-1854
Essex (2),PI 90763,S88-1855
Forrest (3),PI 437654,S88-1934
Forrest (3),PI 437654,S88-19561
Forrest (3),PI 43765,S88-2036
Forrest (3),PI 437654,S88-7166
Hutcheson,S81-2524,S89-1097
Fayette,S81-2203,S90-1056
Fayette,S81-2203,S90-1058
S81-2876,N83-375,S90-1218
D81-7857,N83-375,S90-1245
Unspecified,Unspecified,S90-1435
Unspecified,Unspecified,S90-1818
Hartz H5370,Hartwig,S91-1381
Unspecified,Unspecified,S91-1532
Pioneer P9571,Hartwig,S91-1661
Hartwig,Coker 485,S91-1693
Hartwig,Coker 485,S91-1839
Williams,PI 437654,S91-2469
Williams (2),(Forrest*PI 437654),S91-5371-17
Williams (2),(Forrest*PI 437654),S91-5371-19
Manokin,Hartwig,S92-1069
Pioneer P9581,Hartwig,S92-1403
AT550,Hartwig,S92-1495
Hartz H5164,Hartwig,S92-1666
Unspecified,Unspecified,S92-2711A
Unspecified,Unspecified,S92-2713
Williams (2),(Forrest*PI 437654),S92-2716
Asgrow A6785,Hartwig,S93-1344
S85-1706,Hartwig,S93-1475
Asgrow A5979,S90-1818,S93-1591
Asgrow A5979,S90-1818,S93-1631
Asgrow A5403,S91-1532,S94-1808
Pioneer P9592,S91-1693,S94-1867
Pioneer P9592,S91-1693,S94-1873
Holladay,Hartwig,S94-1955
Holladay,Hartwig,S94-1956
Delsoy,Hartwig,S94-2086
S92-1495,Northrup King S59-60,S95-1908
Unspecified,Unspecified,S95-1908-3-LOAM02
Asgrow A5979,Northrup King S92-1598,S95-2151
Pioneer P9591,S91-1839,S96-2641
Unspecified,Unspecified,S96-2641-2-LOAM02
Manokin,S91-1839,S96-2692
Asgrow A5979,S91-1693,S96-3284
S92-1666,Northrup King S59-60,S96-3418
S91-1381,Hartz H5810,S97-1688
Unspecified,Unspecified,S97-1688-12-LOAM02
Unspecified,Unspecified,S97-1688-8-LOAM02
Hartz H5545,S91-1381,S97-1753
Hartz H5545,S91-1381,S97-1759
N90-516,S92-1666,S98-1375
(Delsoy 5500*MON RR),S86-4499,S98-3940-04RR
Anand,S94-1808,S99-1117
LG91-7320,Probst,S99-11509
Delsoy 5500,Anand,S99-1171
Delsoy 5500,Anand,S99-1177
S93-1475,Delsoy 5500,S99-1779
S93-1591,S94-1808,S99-2176
Delsoy 5500 (4),MON RR,S99-2447-02RR
Unspecified,Unspecified,S99-4074
PI 80462,NA,Sac
Introduction,NA,Salut 216
Bragg,Essex,Sampson
Unspecified,Unspecified,Satelite
Hobbit,Jogun,Saturn
Burlison,Asgrow A3733,Savoy
Dillon,N94-199,SC00-1741
SC92-2482,(SC92-2482*(Hagood (2)*Resnik RR)),SC00-579RR
SC92-2482,(Hagood (2)*Resnik RR),SC00-601RR
SC92-2482,(SC92-2482*(Hagood (2)*Resnik RR)),SC00-603RR
Unspecified,Unspecified,SC00-643
SC92-3091,(Benning*(Hagood*Resnik RR)),SC00-643RR
SC92-3091,(Maxcy (2)*Resnik RR),SC00-695RR
Dillon (3),MON RR,SC00-892RR
Coker 6847,Stonewall,SC01-1791
Musen,(SC92-2482*(Benning*(Hagood*Resnik RR))),SC01-783RR
Santee,(SC92-2482*(Benning*(Hagood*Resnik RR))),SC01-796RR
SC92-2482,(SC92-2482*(Hagood*(Hagood*Resnik RR))),SC01-803 RR
SC92-2482 (2),(Hagood (2)*Resnik RR),SC01-805RR
Unspecified,Unspecified,SC01-809
SC92-2482 (2),(Hagood (2)*Resnik RR),SC01-809RR
SC92-2482,(SC92-2482*(Benning*(Hagood*Resnik RR))),SC01-819RR
Dillon,(Maxcy*(Benning*(Hagood*Resnik RR))),SC02-011RR
Musen,(Musen*(SC89-147*(Musen*Resnik RR))),SC02-059RR
SC92-3091,(Maxcy*(Benning*(Hagood*Resnik RR))),SC02-134RR
Musen,(Musen*(SC92-2482*(Benning*(Hagood*Resnik RR)))),SC02-163RR
Musen,(Musen*(SC92-2482*(Benning*(Hagood*Resnik RR)))),SC02-176RR
Santee,(SC92-2482 (2)*(Hagood (2)*Resnik RR)),SC02-208RR
N95-614,(Santee*(SC92-2482 (2)*(Hagood (2) *Resnik RR))),SC03-061RR
N95-614,(Santee*(SC92-2482 (2)*(Hagood (2) *Resnik RR))),SC03-062RR
G93-2225,(Hagood*(Maxcy*(Benning*(Hagood*Resnik RR)))),SC03-153RR
G93-2225,(Hagood*(Maxcy*(Benning*(Hagood*Resnik RR)))),SC03-168RR
G93-2225,(Hagood*(Maxcy*(Benning*(Hagood*Resnik RR)))),SC03-169RR
G93-2225,(Hagood*(Maxcy*(Benning*(Hagood*Resnik RR)))),SC03-172RR
G93-2225,(Hagood*(Maxcy*(Benning*(Hagood*Resnik RR)))),SC03-173RR
Dillon,(Maxcy*(Benning*(Hagood*Resnik RR))),SC03-9090RR
Dillon,(Maxcy*(Benning*(Hagood*Resnik RR))),SC03-9091RR
Dillon,(Maxcy*(Benning*(Hagood*Resnik RR))),SC03-9093RR
Dillon,(Maxcy*(Benning*(Hagood*Resnik RR))),SC03-9151RR
Santee,(SC92-2482 (2)*(Hagood (2)*Resnik RR)),SC03-9383RR
(SC94-1075*Santee),(SC92-2482 (2)*(Hagood (2)*Resnik RR)),SC04-306RR
N95-614,(Santee*(SC92-2482 (2)*(Hagood (2)*Resnik RR))),SC04-375RR
N95-614,(Santee*(SC92-2482 (2)*(Hagood (2)*Resnik RR))),SC04-386RR
Dillon (3),N94-199,SC04-41
N95-614,(Santee*(SC92-2482 (2)*(Hagood (2)*Resnik RR))),SC04-417RR
SC00-579RR,N97-9658,SC05-598RR
SC00-603RR,SC94-1573,SC05-642RR
SC98-1850,SC00-892RR,SC06-007RR
SC98-1850,SC00-892RR,SC06-013RR
SC98-1850,SC00-892RR,SC06-045RR
SC98-1850,SC00-892RR,SC06-051RR
SC98-1850,SC00-579RR,SC06-247RR
SC98-1850,SC00-579RR,SC06-260RR
SC98-1930,SC00-892RR,SC06-291RR
N97-9658,SC01-783RR,SC06-301RR
SC98-1930,SC00-892RR,SC06-306RR
SC98-1850,SC00-579RR,SC06-5214RR
SC98-1930,SC00-892RR,SC06-5306RR
SC98-1850,SC00-579RR,SC06-5640RR
SC98-1930,SC00-892RR,SC06-5733RR
SC01-809RR,G99-3211,SC06-676RR
SC01-809RR,G99-3211,SC06-708RR
G00-3213,SC00-643,SC07-1027RR
G00-3213,SC00-643RR,SC07-1029RR
N97-9658,SC01-783RR,SC07-108RR
SC01-809,G00-3213,SC07-1352RR
SC01-809,G99-3211,SC07-1455RR
SC01-809,G99-3211,SC07-1490RR
N97-9658,SC00-643RR,SC07-150RR
SC01-809RR,G99-3211,SC07-1518RR
SC01-809,G99-3211,SC07-1596RR
SC01-786RR,G00-3213,SC07-786RR
G00-3213,SC00-643,SC07-912RR
N97-9658,SC00-643RR,SC09-039RR
N97-9658,SC00-643RR,SC09-052RR
N97-9658,SC00-643RR,SC09-057RR
N97-9658,SC00-643RR,SC09-059RR
N97-9658,SC00-643RR,SC09-090RR
N97-9658,SC00-643RR,SC09-092RR
